챕터 이름,단어(spanish),뜻(meaning),관용구(idiom),예문(example),동사활용(conjugation)
학습*,curso,"m. 과정, 수업",curso intensivo : 집중 과정,"1. Me inscribí en un curso.

과정에 등록했다.

2. El curso dura tres meses.

과정은 3개월 지속된다.

3. El curso es por la tarde.

수업은 오후에 있다.",
학습*,clase,f. 수업,clase online : 온라인 수업,"1. La clase empieza a las nueve.

수업은 9시에 시작한다.

2. Hoy no hay clase.

오늘 수업이 없다.

3. La clase fue interesante.

수업이 흥미로웠다.",
학습*,practicar,v. 연습하다,practicar a diario : 매일 연습하다,"1. Practico español cada día.

나는 매일 스페인어를 연습한다.

2. Practicamos en pareja.

우리는 짝을 지어 연습한다.

3. Practicó la pronunciación.

그는 발음을 연습했다.","[현재]

practico / practicas / practica / practicamos / practicáis / practican


[현재분사] : practicando : [과거분사] : practicado


[과거]

practicé / practicaste / practicó / practicamos / practicasteis / practicaron


[가정법]

practicaría / practicarías / practicaría / practicaríamos / practicaríais / practicarían


[접속법]

practice / practices / practice / practicemos / practicéis / practicen


[미래]

practicaré / practicarás / practicará / practicaremos / practicaréis / practicarán"
학습*,estudiar,v. 공부하다,estudiar en casa : 집에서 공부하다,"1. Estudio una hora.

나는 한 시간 공부한다.

2. Estudiamos para el examen.

우리는 시험을 위해 공부한다.

3. Estudié anoche.

어젯밤에 공부했다.","[현재]

estudio / estudias / estudia / estudiamos / estudiáis / estudian


[현재분사] : estudiando : [과거분사] : estudiado


[과거]

estudié / estudiaste / estudió / estudiamos / estudiasteis / estudiaron


[가정법]

estudiaría / estudiarías / estudiaría / estudiaríamos / estudiaríais / estudiarían


[접속법]

estudie / estudies / estudie / estudiemos / estudiéis / estudien


[미래]

estudiaré / estudiarás / estudiará / estudiaremos / estudiaréis / estudiarán"
학습*,aprender,v. 배우다,aprender vocabulario : 어휘를 배우다,"1. Aprendo palabras nuevas.

나는 새로운 단어를 배운다.

2. Aprendimos con videos.

우리는 영상으로 배웠다.

3. Aprender es un proceso.

배우는 것은 과정이다.","[현재]

aprendo / aprendes / aprende / aprendemos / aprendéis / aprenden


[현재분사] : aprendiendo : [과거분사] : aprendido


[과거]

aprendí / aprendiste / aprendió / aprendimos / aprendisteis / aprendieron


[가정법]

aprendería / aprenderías / aprendería / aprenderíamos / aprenderíais / aprenderían


[접속법]

aprenda / aprendas / aprenda / aprendamos / aprendáis / aprendan


[미래]

aprenderé / aprenderás / aprenderá / aprenderemos / aprenderéis / aprenderán"
학습*,enseñar,v. 가르치다,enseñar gramática : 문법을 가르치다,"1. Ella enseña español.

그녀는 스페인어를 가르친다.

2. Me enseñaron la regla.

그들은 나에게 규칙을 가르쳐 주었다.

3. Enseñamos con ejemplos.

우리는 예시로 가르친다.","[현재]

enseño / enseñas / enseña / enseñamos / enseñáis / enseñan


[현재분사] : enseñando : [과거분사] : enseñado


[과거]

enseñé / enseñaste / enseñó / enseñamos / enseñasteis / enseñaron


[가정법]

enseñaría / enseñarías / enseñaría / enseñaríamos / enseñaríais / enseñarían


[접속법]

enseñe / enseñes / enseñe / enseñemos / enseñéis / enseñen


[미래]

enseñaré / enseñarás / enseñará / enseñaremos / enseñaréis / enseñarán"
학습*,evaluar,v. 평가하다,evaluar el progreso : 진도를 평가하다,"1. Evaluamos el nivel.

우리는 수준을 평가한다.

2. Evaluaron la presentación.

발표를 평가했다.

3. Evaluaré tu tarea.

네 과제를 평가할 것이다.","[현재]

evaluo / evaluas / evalua / evaluamos / evaluáis / evaluan


[현재분사] : evaluando : [과거분사] : evaluado


[과거]

evalué / evaluaste / evaluó / evaluamos / evaluasteis / evaluaron


[가정법]

evaluaría / evaluarías / evaluaría / evaluaríamos / evaluaríais / evaluarían


[접속법]

evalue / evalues / evalue / evaluemos / evaluéis / evaluen


[미래]

evaluaré / evaluarás / evaluará / evaluaremos / evaluaréis / evaluarán"
학습*,revisar,v. 검토하다,revisar los apuntes : 필기를 검토하다,"1. Reviso mis notas.

나는 내 필기를 검토한다.

2. Revisaron el contenido.

내용을 검토했다.

3. Revisaremos el ejercicio.

우리는 연습문제를 검토할 것이다.","[현재]

reviso / revisas / revisa / revisamos / revisáis / revisan


[현재분사] : revisando : [과거분사] : revisado


[과거]

revisé / revisaste / revisó / revisamos / revisasteis / revisaron


[가정법]

revisaría / revisarías / revisaría / revisaríamos / revisaríais / revisarían


[접속법]

revise / revises / revise / revisemos / reviséis / revisen


[미래]

revisaré / revisarás / revisará / revisaremos / revisaréis / revisarán"
학습*,mejorar,v. 향상시키다,mejorar la pronunciación : 발음을 향상시키다,"1. Quiero mejorar mi español.

스페인어를 향상시키고 싶다.

2. Mejoramos con práctica.

연습으로 향상했다.

3. Mejoraré mis resultados.

내 결과를 개선할 것이다.","[현재]

mejoro / mejoras / mejora / mejoramos / mejoráis / mejoran


[현재분사] : mejorando : [과거분사] : mejorado


[과거]

mejoré / mejoraste / mejoró / mejoramos / mejorasteis / mejoraron


[가정법]

mejoraría / mejorarías / mejoraría / mejoraríamos / mejoraríais / mejorarían


[접속법]

mejore / mejores / mejore / mejoremos / mejoréis / mejoren


[미래]

mejoraré / mejorarás / mejorará / mejoraremos / mejoraréis / mejorarán"
학습*,apuntar,v. 적다; 등록하다,apuntar una palabra : 단어를 적다,"1. Apunto palabras nuevas.

나는 새 단어를 적는다.

2. Apuntamos la fecha.

우리는 날짜를 적었다.

3. Apuntaré los datos.

데이터를 적어 둘 것이다.","[현재]

apunto / apuntas / apunta / apuntamos / apuntáis / apuntan


[현재분사] : apuntando : [과거분사] : apuntado


[과거]

apunté / apuntaste / apuntó / apuntamos / apuntasteis / apuntaron


[가정법]

apuntaría / apuntarías / apuntaría / apuntaríamos / apuntaríais / apuntarían


[접속법]

apunte / apuntes / apunte / apuntemos / apuntéis / apunten


[미래]

apuntaré / apuntarás / apuntará / apuntaremos / apuntaréis / apuntarán"
학습*,plan de estudio,m. 학습 계획,plan de estudio semanal : 주간 학습 계획,"1. Hice un plan de estudio.

학습 계획을 세웠다.

2. El plan de estudio es realista.

학습 계획이 현실적이다.

3. Sigo el plan de estudio.

학습 계획을 따른다.",
학습*,hábitos,m. 습관들,hábitos de estudio : 학습 습관,"1. Tengo buenos hábitos.

좋은 습관이 있다.

2. Cambió sus hábitos.

습관을 바꿨다.

3. Los hábitos ayudan.

습관이 도움이 된다.",
학습*,constancia,f. 꾸준함,constancia en el estudio : 꾸준한 공부,"1. La constancia es clave.

꾸준함이 핵심이다.

2. Falta constancia.

꾸준함이 부족하다.

3. La constancia mejora los resultados.

꾸준함이 결과를 개선한다.",
학습*,autoevaluación,f. 자기 평가,hacer autoevaluación : 자기 평가하다,"1. Hice autoevaluación.

자기 평가를 했다.

2. La autoevaluación es útil.

자기 평가가 유용하다.

3. Necesito autoevaluación.

자기 평가가 필요하다.",
학습*,autocorrección,f. 자기 교정,autocorrección constante : 지속적인 자기 교정,"1. La autocorrección ayuda.

자기 교정이 도움이 된다.

2. Practica la autocorrección.

자기 교정을 연습한다.

3. La autocorrección es difícil.

자기 교정이 어렵다.",
학습*,repasar,v. 복습하다,repasar la lección : 수업을 복습하다,"1. Repaso la lección.

수업을 복습한다.

2. Repasaron el vocabulario.

그들은 어휘를 복습했다.

3. Repasaré mañana.

내일 복습할 것이다.","[현재]

repaso / repasas / repasa / repasamos / repasáis / repasan


[현재분사] : repasando : [과거분사] : repasado


[과거]

repasé / repasaste / repasó / repasamos / repasasteis / repasaron


[가정법]

repasaría / repasarías / repasaría / repasaríamos / repasaríais / repasarían


[접속법]

repase / repases / repase / repasemos / repaséis / repasen


[미래]

repasaré / repasarás / repasará / repasaremos / repasaréis / repasarán"
학습*,distracción,f. 산만함,evitar distracciones : 산만함을 피하다,"1. La distracción es un problema.

산만함이 문제다.

2. Necesito evitar la distracción.

산만함을 피해야 한다.

3. La distracción bajó.

산만함이 줄었다.",
학습*,organización,"f. 정리, 조직",organización del estudio : 학습 정리,"1. La organización es buena.

정리가 잘 된다.

2. Mejoré la organización.

정리를 개선했다.

3. Necesito organización.

정리가 필요하다.",
학습*,rutina de estudio,f. 공부 루틴,rutina de estudio diaria : 매일 공부 루틴,"1. Tengo rutina de estudio.

공부 루틴이 있다.

2. La rutina de estudio funciona.

공부 루틴이 효과가 있다.

3. Cambió su rutina de estudio.

공부 루틴을 바꿨다.",
