id,type,verb,tense,sentence,answer,hint,options,translation
24_1,1,venir,fut,Mañana ellos *vendrán*.,미래,,현재|단순과거|불완료과거|미래|현재완료,내일 그들은 [할 거예요].
24_2,2,venir,fut,Mañana ellos ___.,vendrán,,,내일 그들은 [할 거예요].
24_3,3,venir,fut,Mañana ellos ___.,vendrán,,vendré|vendrán|vengan|vendremos,내일 그들은 [할 거예요].
25_1,1,decir,pres,Ahora nosotros *decimos*.,현재,,현재|단순과거|불완료과거|미래|현재완료,지금 우리는 [해요/있어요].
25_2,2,decir,pres,Ahora nosotros ___.,decimos,,,지금 우리는 [해요/있어요].
25_3,3,decir,pres,Ahora nosotros ___.,decimos,,decimos|dicen|digamos|dices,지금 우리는 [해요/있어요].
26_1,1,decir,indef,Ayer nosotros *dijimos*.,단순과거,,현재|단순과거|불완료과거|미래|현재완료,어제 우리는 [했어요/있었어요].
26_2,2,decir,indef,Ayer nosotros ___.,dijimos,,,어제 우리는 [했어요/있었어요].
26_3,3,decir,indef,Ayer nosotros ___.,dijimos,,dijiste|diríamos|dije|dijimos,어제 우리는 [했어요/있었어요].
27_1,1,decir,fut,Mañana yo *diré*.,미래,,현재|단순과거|불완료과거|미래|현재완료,내일 나는 [할 거예요].
27_2,2,decir,fut,Mañana yo ___.,diré,,,내일 나는 [할 거예요].
27_3,3,decir,fut,Mañana yo ___.,diré,,diré|dirá|he dicho|dirá,내일 나는 [할 거예요].
28_1,1,poder,pres,Ahora ellos *pueden*.,현재,,현재|단순과거|불완료과거|미래|현재완료,지금 그들은 [해요/있어요].
28_2,2,poder,pres,Ahora ellos ___.,pueden,,,지금 그들은 [해요/있어요].
28_3,3,poder,pres,Ahora ellos ___.,pueden,,puedo|puedo|pueden|puedan,지금 그들은 [해요/있어요].
29_1,1,poder,indef,Ayer ellos *pudieron*.,단순과거,,현재|단순과거|불완료과거|미래|현재완료,어제 그들은 [했어요/있었어요].
29_2,2,poder,indef,Ayer ellos ___.,pudieron,,,어제 그들은 [했어요/있었어요].
29_3,3,poder,indef,Ayer ellos ___.,pudieron,,podrían|pudieron|pudo|pudo,어제 그들은 [했어요/있었어요].
30_1,1,poder,fut,Mañana él *podrá*.,미래,,현재|단순과거|불완료과거|미래|현재완료,내일 그는 [할 거예요].
30_2,2,poder,fut,Mañana él ___.,podrá,,,내일 그는 [할 거예요].
30_3,3,poder,fut,Mañana él ___.,podrá,,podría|podrás|podrá|podré,내일 그는 [할 거예요].
31_1,1,dar,pres,Ahora tú *das*.,현재,,현재|단순과거|불완료과거|미래|현재완료,지금 너는 [해요/있어요].
31_2,2,dar,pres,Ahora tú ___.,das,,,지금 너는 [해요/있어요].
31_3,3,dar,pres,Ahora tú ___.,das,,dan|da|das|dabas,지금 너는 [해요/있어요].
32_1,1,dar,indef,Ayer nosotros *dimos*.,단순과거,,현재|단순과거|불완료과거|미래|현재완료,어제 우리는 [했어요/있었어요].
32_2,2,dar,indef,Ayer nosotros ___.,dimos,,,어제 우리는 [했어요/있었어요].
32_3,3,dar,indef,Ayer nosotros ___.,dimos,,dio|daríamos|dieron|dimos,어제 우리는 [했어요/있었어요].
33_1,1,dar,fut,Mañana tú *darás*.,미래,,현재|단순과거|불완료과거|미래|현재완료,내일 너는 [할 거예요].
33_2,2,dar,fut,Mañana tú ___.,darás,,,내일 너는 [할 거예요].
33_3,3,dar,fut,Mañana tú ___.,darás,,daremos|daremos|darías|darás,내일 너는 [할 거예요].
34_1,1,querer,pres,Ahora tú *quieres*.,현재,,현재|단순과거|불완료과거|미래|현재완료,지금 너는 [해요/있어요].
34_2,2,querer,pres,Ahora tú ___.,quieres,,,지금 너는 [해요/있어요].
34_3,3,querer,pres,Ahora tú ___.,quieres,,quieren|querrás|quieres|queremos,지금 너는 [해요/있어요].
35_1,1,querer,indef,Ayer yo *quise*.,단순과거,,현재|단순과거|불완료과거|미래|현재완료,어제 나는 [했어요/있었어요].
35_2,2,querer,indef,Ayer yo ___.,quise,,,어제 나는 [했어요/있었어요].
35_3,3,querer,indef,Ayer yo ___.,quise,,quisiste|quise|he querido|quiso,어제 나는 [했어요/있었어요].
36_1,1,querer,fut,Mañana yo *querré*.,미래,,현재|단순과거|불완료과거|미래|현재완료,내일 나는 [할 거예요].
36_2,2,querer,fut,Mañana yo ___.,querré,,,내일 나는 [할 거예요].
36_3,3,querer,fut,Mañana yo ___.,querré,,querré|querrá|querremos|quiero,내일 나는 [할 거예요].
37_1,1,saber,pres,Ahora tú *sabes*.,현재,,현재|단순과거|불완료과거|미래|현재완료,지금 너는 [해요/있어요].
37_2,2,saber,pres,Ahora tú ___.,sabes,,,지금 너는 [해요/있어요].
37_3,3,saber,pres,Ahora tú ___.,sabes,,sabe|sabes|supieras|saben,지금 너는 [해요/있어요].
38_1,1,saber,indef,Ayer tú *supiste*.,단순과거,,현재|단순과거|불완료과거|미래|현재완료,어제 너는 [했어요/있었어요].
38_2,2,saber,indef,Ayer tú ___.,supiste,,,어제 너는 [했어요/있었어요].
38_3,3,saber,indef,Ayer tú ___.,supiste,,supiste|sabrías|supe|supieron,어제 너는 [했어요/있었어요].
39_1,1,saber,fut,Mañana ellos *sabrán*.,미래,,현재|단순과거|불완료과거|미래|현재완료,내일 그들은 [할 거예요].
39_2,2,saber,fut,Mañana ellos ___.,sabrán,,,내일 그들은 [할 거예요].
39_3,3,saber,fut,Mañana ellos ___.,sabrán,,han sabido|sabrás|sabrán|sabrás,내일 그들은 [할 거예요].
40_1,1,poner,pres,Ahora él *pone*.,현재,,현재|단순과거|불완료과거|미래|현재완료,지금 그는 [해요/있어요].
40_2,2,poner,pres,Ahora él ___.,pone,,,지금 그는 [해요/있어요].
40_3,3,poner,pres,Ahora él ___.,pone,,pone|ponemos|ponga|ponemos,지금 그는 [해요/있어요].
41_1,1,poner,indef,Ayer nosotros *pusimos*.,단순과거,,현재|단순과거|불완료과거|미래|현재완료,어제 우리는 [했어요/있었어요].
41_2,2,poner,indef,Ayer nosotros ___.,pusimos,,,어제 우리는 [했어요/있었어요].
41_3,3,poner,indef,Ayer nosotros ___.,pusimos,,pusimos|pusieron|pusieron|ponemos,어제 우리는 [했어요/있었어요].
42_1,1,poner,fut,Mañana él *pondrá*.,미래,,현재|단순과거|불완료과거|미래|현재완료,내일 그는 [할 거예요].
42_2,2,poner,fut,Mañana él ___.,pondrá,,,내일 그는 [할 거예요].
42_3,3,poner,fut,Mañana él ___.,pondrá,,pondrán|ponía|pondrá|pondré,내일 그는 [할 거예요].
43_1,1,ver,pres,Ahora él *ve*.,현재,,현재|단순과거|불완료과거|미래|현재완료,지금 그는 [해요/있어요].
43_2,2,ver,pres,Ahora él ___.,ve,,,지금 그는 [해요/있어요].
43_3,3,ver,pres,Ahora él ___.,ve,,ve|vemos|vería|veo,지금 그는 [해요/있어요].
44_1,1,ver,indef,Ayer yo *vi*.,단순과거,,현재|단순과거|불완료과거|미래|현재완료,어제 나는 [했어요/있었어요].
44_2,2,ver,indef,Ayer yo ___.,vi,,,어제 나는 [했어요/있었어요].
44_3,3,ver,indef,Ayer yo ___.,vi,,veo|vio|vieron|vi,어제 나는 [했어요/있었어요].
45_1,1,ver,fut,Mañana yo *veré*.,미래,,현재|단순과거|불완료과거|미래|현재완료,내일 나는 [할 거예요].
45_2,2,ver,fut,Mañana yo ___.,veré,,,내일 나는 [할 거예요].
45_3,3,ver,fut,Mañana yo ___.,veré,,verás|veré|verán|vi,내일 나는 [할 거예요].
46_1,1,salir,pres,Ahora yo *salgo*.,현재,,현재|단순과거|불완료과거|미래|현재완료,지금 나는 [해요/있어요].
46_2,2,salir,pres,Ahora yo ___.,salgo,,,지금 나는 [해요/있어요].
46_3,3,salir,pres,Ahora yo ___.,salgo,,sales|saliera|salimos|salgo,지금 나는 [해요/있어요].
47_1,1,salir,indef,Ayer él *salió*.,단순과거,,현재|단순과거|불완료과거|미래|현재완료,어제 그는 [했어요/있었어요].
47_2,2,salir,indef,Ayer él ___.,salió,,,어제 그는 [했어요/있었어요].
47_3,3,salir,indef,Ayer él ___.,salió,,salió|saliste|salí|ha salido,어제 그는 [했어요/있었어요].
48_1,1,salir,fut,Mañana ellos *saldrán*.,미래,,현재|단순과거|불완료과거|미래|현재완료,내일 그들은 [할 거예요].
48_2,2,salir,fut,Mañana ellos ___.,saldrán,,,내일 그들은 [할 거예요].
48_3,3,salir,fut,Mañana ellos ___.,saldrán,,saldré|salieran|saldrán|saldrás,내일 그들은 [할 거예요].
49_1,1,comer,pres,ellos *comen* pan.,현재,,현재|단순과거|불완료과거|미래|현재완료,그들은 빵을 [먹어요].
49_2,2,comer,pres,ellos ___ pan.,comen,,,그들은 빵을 [먹어요].
49_3,3,comer,pres,ellos ___ pan.,comen,,comes|come|coman|comen,그들은 빵을 [먹어요].
50_1,1,comer,indef,Ayer él *comió* pizza.,단순과거,,현재|단순과거|불완료과거|미래|현재완료,어제 그는 피자를 [먹었어요].
50_2,2,comer,indef,Ayer él ___ pizza.,comió,,,어제 그는 피자를 [먹었어요].
50_3,3,comer,indef,Ayer él ___ pizza.,comió,,comimos|comí|ha comido|comió,어제 그는 피자를 [먹었어요].
51_1,1,comer,fut,Mañana yo *comeré* paella.,미래,,현재|단순과거|불완료과거|미래|현재완료,내일 나는 파에야를 [먹을 거예요].
51_2,2,comer,fut,Mañana yo ___ paella.,comeré,,,내일 나는 파에야를 [먹을 거예요].
51_3,3,comer,fut,Mañana yo ___ paella.,comeré,,comerá|comeré|coma|comeremos,내일 나는 파에야를 [먹을 거예요].
52_1,1,vivir,pres,él *vive* en Seúl.,현재,,현재|단순과거|불완료과거|미래|현재완료,그는 서울에 [살아요].
52_2,2,vivir,pres,él ___ en Seúl.,vive,,,그는 서울에 [살아요].
52_3,3,vivir,pres,él ___ en Seúl.,vive,,vive|vivía|vivimos|vivimos,그는 서울에 [살아요].
53_1,1,vivir,indef,El año pasado nosotros *vivimos* en París.,단순과거,,현재|단순과거|불완료과거|미래|현재완료,작년에 우리는 파리에 [살았어요].
53_2,2,vivir,indef,El año pasado nosotros ___ en París.,vivimos,,,작년에 우리는 파리에 [살았어요].
53_3,3,vivir,indef,El año pasado nosotros ___ en París.,vivimos,,viviremos|vivieron|vivieron|vivimos,작년에 우리는 파리에 [살았어요].
54_1,1,hablar,pres,Ahora nosotros *hablamos*.,현재,,현재|단순과거|불완료과거|미래|현재완료,지금 우리는 [해요/있어요].
54_2,2,hablar,pres,Ahora nosotros ___.,hablamos,,,지금 우리는 [해요/있어요].
54_3,3,hablar,pres,Ahora nosotros ___.,hablamos,,hablamos|hablas|hablábamos|hablan,지금 우리는 [해요/있어요].
55_1,1,hablar,indef,Ayer yo *hablé*.,단순과거,,현재|단순과거|불완료과거|미래|현재완료,어제 나는 [했어요/있었어요].
55_2,2,hablar,indef,Ayer yo ___.,hablé,,,어제 나는 [했어요/있었어요].
55_3,3,hablar,indef,Ayer yo ___.,hablé,,hable|hablamos|hablé|hablaste,어제 나는 [했어요/있었어요].
56_1,1,hablar,fut,Mañana nosotros *hablaremos*.,미래,,현재|단순과거|불완료과거|미래|현재완료,내일 우리는 [할 거예요].
56_2,2,hablar,fut,Mañana nosotros ___.,hablaremos,,,내일 우리는 [할 거예요].
56_3,3,hablar,fut,Mañana nosotros ___.,hablaremos,,hablará|hablamos|hablarán|hablaremos,내일 우리는 [할 거예요].
57_1,1,tomar,pres,tú *tomas* café.,현재,,현재|단순과거|불완료과거|미래|현재완료,너는 커피를 [마셔요].
57_2,2,tomar,pres,tú ___ café.,tomas,,,너는 커피를 [마셔요].
57_3,3,tomar,pres,tú ___ café.,tomas,,tomas|tomamos|has tomado|toma,너는 커피를 [마셔요].
58_1,1,tomar,pres,ellos *toman* el autobús.,현재,,현재|단순과거|불완료과거|미래|현재완료,그들은 버스를 [타요].
58_2,2,tomar,pres,ellos ___ el autobús.,toman,,,그들은 버스를 [타요].
58_3,3,tomar,pres,ellos ___ el autobús.,toman,,tomo|tomaran|toman|tomo,그들은 버스를 [타요].
59_1,1,llegar,pres,Ahora ellos *llegan*.,현재,,현재|단순과거|불완료과거|미래|현재완료,지금 그들은 [해요/있어요].
59_2,2,llegar,pres,Ahora ellos ___.,llegan,,,지금 그들은 [해요/있어요].
59_3,3,llegar,pres,Ahora ellos ___.,llegan,,llega|llegamos|lleguen|llegan,지금 그들은 [해요/있어요].
60_1,1,llegar,indef,Ayer ellos *llegaron*.,단순과거,,현재|단순과거|불완료과거|미래|현재완료,어제 그들은 [했어요/있었어요].
60_2,2,llegar,indef,Ayer ellos ___.,llegaron,,,어제 그들은 [했어요/있었어요].
60_3,3,llegar,indef,Ayer ellos ___.,llegaron,,llegaban|llegó|llegué|llegaron,어제 그들은 [했어요/있었어요].
61_1,1,llegar,fut,Mañana tú *llegarás*.,미래,,현재|단순과거|불완료과거|미래|현재완료,내일 너는 [할 거예요].
61_2,2,llegar,fut,Mañana tú ___.,llegarás,,,내일 너는 [할 거예요].
61_3,3,llegar,fut,Mañana tú ___.,llegarás,,llegaré|llegaste|llegaré|llegarás,내일 너는 [할 거예요].
62_1,1,ayudar,pres,Ahora nosotros *ayudamos*.,현재,,현재|단순과거|불완료과거|미래|현재완료,지금 우리는 [해요/있어요].
62_2,2,ayudar,pres,Ahora nosotros ___.,ayudamos,,,지금 우리는 [해요/있어요].
62_3,3,ayudar,pres,Ahora nosotros ___.,ayudamos,,ayuda|ayudamos|ayudan|ayudaremos,지금 우리는 [해요/있어요].
63_1,1,ayudar,indef,Ayer tú *ayudaste*.,단순과거,,현재|단순과거|불완료과거|미래|현재완료,어제 너는 [했어요/있었어요].
63_2,2,ayudar,indef,Ayer tú ___.,ayudaste,,,어제 너는 [했어요/있었어요].
63_3,3,ayudar,indef,Ayer tú ___.,ayudaste,,ayudé|ayudas|ayudé|ayudaste,어제 너는 [했어요/있었어요].
64_1,1,ayudar,fut,Mañana nosotros *ayudaremos*.,미래,,현재|단순과거|불완료과거|미래|현재완료,내일 우리는 [할 거예요].
64_2,2,ayudar,fut,Mañana nosotros ___.,ayudaremos,,,내일 우리는 [할 거예요].
64_3,3,ayudar,fut,Mañana nosotros ___.,ayudaremos,,ayudaremos|ayudaríamos|ayudarás|ayudarás,내일 우리는 [할 거예요].
65_1,1,cantar,pres,Ahora yo *canto*.,현재,,현재|단순과거|불완료과거|미래|현재완료,지금 나는 [해요/있어요].
65_2,2,cantar,pres,Ahora yo ___.,canto,,,지금 나는 [해요/있어요].
65_3,3,cantar,pres,Ahora yo ___.,canto,,canto|cante|cantamos|cantas,지금 나는 [해요/있어요].
66_1,1,cantar,indef,Ayer nosotros *cantamos*.,단순과거,,현재|단순과거|불완료과거|미래|현재완료,어제 우리는 [했어요/있었어요].
66_2,2,cantar,indef,Ayer nosotros ___.,cantamos,,,어제 우리는 [했어요/있었어요].
66_3,3,cantar,indef,Ayer nosotros ___.,cantamos,,cantaste|cantaremos|cantaste|cantamos,어제 우리는 [했어요/있었어요].
67_1,1,cantar,fut,Mañana él *cantará*.,미래,,현재|단순과거|불완료과거|미래|현재완료,내일 그는 [할 거예요].
67_2,2,cantar,fut,Mañana él ___.,cantará,,,내일 그는 [할 거예요].
67_3,3,cantar,fut,Mañana él ___.,cantará,,cantará|cantaré|cantaré|cantaba,내일 그는 [할 거예요].
68_1,1,comprar,pres,Ahora ellos *compran*.,현재,,현재|단순과거|불완료과거|미래|현재완료,지금 그들은 [해요/있어요].
68_2,2,comprar,pres,Ahora ellos ___.,compran,,,지금 그들은 [해요/있어요].
68_3,3,comprar,pres,Ahora ellos ___.,compran,,comprarán|compras|compra|compran,지금 그들은 [해요/있어요].
69_1,1,comprar,indef,Ayer ellos *compraron*.,단순과거,,현재|단순과거|불완료과거|미래|현재완료,어제 그들은 [했어요/있었어요].
69_2,2,comprar,indef,Ayer ellos ___.,compraron,,,어제 그들은 [했어요/있었어요].
69_3,3,comprar,indef,Ayer ellos ___.,compraron,,compró|compraron|compramos|compraban,어제 그들은 [했어요/있었어요].
70_1,1,comprar,fut,Mañana él *comprará*.,미래,,현재|단순과거|불완료과거|미래|현재완료,내일 그는 [할 거예요].
70_2,2,comprar,fut,Mañana él ___.,comprará,,,내일 그는 [할 거예요].
70_3,3,comprar,fut,Mañana él ___.,comprará,,comprará|compraremos|compraré|compra,내일 그는 [할 거예요].
71_1,1,preguntar,pres,Ahora tú *preguntas*.,현재,,현재|단순과거|불완료과거|미래|현재완료,지금 너는 [해요/있어요].
71_2,2,preguntar,pres,Ahora tú ___.,preguntas,,,지금 너는 [해요/있어요].
71_3,3,preguntar,pres,Ahora tú ___.,preguntas,,preguntaras|preguntan|preguntas|preguntan,지금 너는 [해요/있어요].
72_1,1,preguntar,indef,Ayer ellos *preguntaron*.,단순과거,,현재|단순과거|불완료과거|미래|현재완료,어제 그들은 [했어요/있었어요].
72_2,2,preguntar,indef,Ayer ellos ___.,preguntaron,,,어제 그들은 [했어요/있었어요].
72_3,3,preguntar,indef,Ayer ellos ___.,preguntaron,,preguntó|preguntaron|preguntaban|preguntó,어제 그들은 [했어요/있었어요].
73_1,1,preguntar,fut,Mañana yo *preguntaré*.,미래,,현재|단순과거|불완료과거|미래|현재완료,내일 나는 [할 거예요].
73_2,2,preguntar,fut,Mañana yo ___.,preguntaré,,,내일 나는 [할 거예요].
73_3,3,preguntar,fut,Mañana yo ___.,preguntaré,,preguntarás|pregunte|preguntaremos|preguntaré,내일 나는 [할 거예요].
74_1,1,esperar,pres,Ahora él *espera*.,현재,,현재|단순과거|불완료과거|미래|현재완료,지금 그는 [해요/있어요].
74_2,2,esperar,pres,Ahora él ___.,espera,,,지금 그는 [해요/있어요].
74_3,3,esperar,pres,Ahora él ___.,espera,,espera|espero|ha esperado|esperan,지금 그는 [해요/있어요].
75_1,1,esperar,indef,Ayer yo *esperé*.,단순과거,,현재|단순과거|불완료과거|미래|현재완료,어제 나는 [했어요/있었어요].
75_2,2,esperar,indef,Ayer yo ___.,esperé,,,어제 나는 [했어요/있었어요].
75_3,3,esperar,indef,Ayer yo ___.,esperé,,esperé|esperaste|esperamos|esperaría,어제 나는 [했어요/있었어요].
76_1,1,esperar,fut,Mañana él *esperará*.,미래,,현재|단순과거|불완료과거|미래|현재완료,내일 그는 [할 거예요].
76_2,2,esperar,fut,Mañana él ___.,esperará,,,내일 그는 [할 거예요].
76_3,3,esperar,fut,Mañana él ___.,esperará,,esperará|esperarás|esperara|esperarás,내일 그는 [할 거예요].
77_1,1,necesitar,pres,Ahora él *necesita*.,현재,,현재|단순과거|불완료과거|미래|현재완료,지금 그는 [해요/있어요].
77_2,2,necesitar,pres,Ahora él ___.,necesita,,,지금 그는 [해요/있어요].
77_3,3,necesitar,pres,Ahora él ___.,necesita,,necesita|necesitas|necesitaría|necesitan,지금 그는 [해요/있어요].
78_1,1,necesitar,indef,Ayer él *necesitó*.,단순과거,,현재|단순과거|불완료과거|미래|현재완료,어제 그는 [했어요/있었어요].
78_2,2,necesitar,indef,Ayer él ___.,necesitó,,,어제 그는 [했어요/있었어요].
78_3,3,necesitar,indef,Ayer él ___.,necesitó,,necesitó|necesitaba|necesitaste|necesité,어제 그는 [했어요/있었어요].
79_1,1,necesitar,fut,Mañana nosotros *necesitaremos*.,미래,,현재|단순과거|불완료과거|미래|현재완료,내일 우리는 [할 거예요].
79_2,2,necesitar,fut,Mañana nosotros ___.,necesitaremos,,,내일 우리는 [할 거예요].
