시제,문장 (빈칸 포함),동사 기본형,정답,번역,설명,레벨,규칙/불규칙
불완료과거,"Antes, tú no ( ) tiempo para cocinar.",tener,tenías,예전에 너는 요리할 시간이 없었다.,과거의 지속적인 상황이나 결핍을 설명하므로 불완료과거를 사용합니다.,A2,규칙
단순과거,"Anoche, ellos ( ) una fiesta sorpresa.",hacer,hicieron,어젯밤 그들은 깜짝 파티를 열었다.,특정 시점(어젯밤)에 완료된 행위이므로 hacer의 불규칙 단순과거형입니다.,A2,불규칙
불완료과거,"Mientras yo leía, mi hermana ( ) la tele.",ver,veía,내가 책을 읽는 동안 동생은 TV를 보고 있었다.,과거의 배경적 상황이나 동시에 진행되던 동작은 불완료과거로 표현합니다.,A2,불규칙
단순과거,El profesor me ( ) el libro necesario.,dar,dio,선생님은 필요한 책을 내게 주셨다.,과거의 일회성 사건(주다)이므로 dar의 단순과거 3인칭 단수형을 씁니다.,A2,불규칙
단순과거,Ella me ( ) que no podría venir.,decir,dijo,그녀는 올 수 없다고 내게 말했다.,과거 특정 시점의 발화 내용은 decir의 불규칙 단순과거형을 사용합니다.,A2,불규칙
현재완료,Esta semana no me ( ) el abrigo.,poner,he puesto,이번 주는 코트를 입지 않았다.,현재와 연결된 시간(이번 주) 내의 경험이므로 현재완료(haber+p.p)를 씁니다.,A2,불규칙(분사)
단순과거,Ustedes ( ) de la oficina muy tarde.,salir,salieron,당신들은 사무실에서 아주 늦게 나갔습니다.,과거의 완료된 동작(나가다)을 서술하므로 3인칭 복수 단순과거형입니다.,A2,규칙
불완료과거,"De joven, él ( ) ser astronauta.",querer,quería,젊었을 때 그는 우주비행사가 되고 싶어 했다.,과거의 막연한 소망이나 의도는 불완료과거로 표현합니다.,A2,규칙
단순과거,"Finalmente, nosotros ( ) terminarlo.",poder,pudimos,마침내 우리는 그것을 끝낼 수 있었다.,특정 시점에 달성한(성공한) 능력은 poder의 단순과거형을 사용합니다.,A2,불규칙
불완료과거,Yo no ( ) que la tienda cerraba hoy.,saber,sabía,나는 오늘 가게가 닫는 줄 몰랐다.,과거의 인지 상태(알다/모르다)는 주로 불완료과거로 나타냅니다.,A2,규칙
현재완료,¿Alguna vez ( ) vosotros aquí?,venir,habéis venido,너희들은 여기에 와본 적이 있니?,경험을 묻는 'Alguna vez'는 현재완료 시제와 함께 사용됩니다.,A2,불규칙(분사)
단순과거,El tren ( ) con retraso a la estación.,llegar,llegó,기차는 역에 늦게 도착했다.,도착이라는 사건의 완료를 나타내므로 단순과거 3인칭 단수형을 씁니다.,A2,규칙
현재완료,Hoy mis padres ya ( ) de viaje.,volver,han vuelto,오늘 부모님은 여행에서 이미 돌아오셨다.,Hoy'를 포함한 가까운 과거의 완료된 일은 현재완료를 사용합니다.,A2,불규칙(분사)
단순과거,La película ( ) hace cinco minutos.,empezar,empezó,영화는 5분 전에 시작했다.,Hace ~' 구문으로 명시된 과거 시점의 사건은 단순과거를 씁니다.,A2,규칙
불완료과거,Antes los niños ( ) en la calle.,jugar,jugaban,예전에 아이들은 거리에서 놀곤 했다.,과거의 반복적인 습관이나 풍경 묘사에는 불완료과거가 적합합니다.,A2,규칙
단순과거,Anoche no ( ) bien por el ruido.,dormir,dormí,어젯밤 소음 때문에 잘 자지 못했다.,특정 밤의 사건을 서술하므로 단순과거 1인칭 단수형(어간 변화 없음)을 씁니다.,A2,규칙
현재완료,Nunca ( ) a nadie tan amable.,conocer,he conocido,그렇게 친절한 사람은 만나본 적이 없다.,과거부터 현재까지의 경험(부정)을 나타낼 때 현재완료를 사용합니다.,A2,규칙
단순미래,"El próximo año, yo ( ) a Europa.",viajar,viajaré,내년에 나는 유럽으로 여행 갈 것이다.,미래의 계획이나 예정된 일을 말할 때 단순미래 시제를 사용합니다.,B1,규칙
접속법 현재,Es importante que tú ( ) las reglas.,respetar,respetes,네가 규칙을 존중하는 것은 중요하다.,가치 판단을 나타내는 'Es importante que' 뒤에는 접속법 현재가 옵니다.,B1,규칙
단순미래,"Mañana lloverá, así que no ( ) la ropa.",tender,tenderemos,내일 비가 올 테니 우리는 빨래를 널지 않을 것이다.,날씨 예측에 따른 미래의 행동을 추측하므로 미래형을 사용합니다.,B1,규칙
접속법 현재,Dudo que ellos ( ) la verdad.,contar,cuenten,나는 그들이 진실을 말할지 의심스럽다.,의심(Dudar)을 나타내는 동사 뒤 종속절에는 접속법(어간 변화 포함)을 씁니다.,B1,불규칙(어간)
단순미래,Algún día yo ( ) un coche deportivo.,conducir,conduciré,언젠가 나는 스포츠카를 운전할 것이다.,막연한 미래의 희망이나 계획을 나타내므로 단순미래형을 사용합니다.,B1,규칙
접속법 현재,Ojalá que mi equipo ( ) el partido.,ganar,gane,우리 팀이 경기에서 이기기를 바란다.,소망을 비는 'Ojalá' 구문 뒤에는 항상 접속법을 사용합니다.,B1,규칙
접속법 현재,Te recomiendo que ( ) más agua.,tomar,tomes,물을 더 많이 마실 것을 추천한다.,추천이나 조언(recomendar) 뒤의 종속절에는 접속법이 옵니다.,B1,규칙
단순미래,"En el futuro, todo ( ) radicalmente.",cambiar,cambiará,미래에는 모든 것이 급격히 변할 것이다.,미래에 대한 예측을 나타내므로 3인칭 단수 미래형을 사용합니다.,B1,규칙
접속법 현재,No creo que esa solución ( ).,servir,sirva,그 해결책이 도움이 될 거라 생각하지 않는다.,부정적 의견(No creo que)은 현실의 불확실성을 내포하므로 접속법을 씁니다.,B1,불규칙(어간)
가능법,"Si tuviera tiempo, lo ( ).",conseguir,conseguiría,시간이 있다면 해낼 수 있을 텐데.,현재 사실 반대 가정(조건문)의 귀결절에는 가능법(조건법)을 사용합니다.,B1,규칙
접속법 현재,Es necesario que vosotros lo ( ) hoy.,enviar,enviéis,너희들은 오늘 그것을 보내야 한다.,필요성을 나타내는 비인칭 구문 뒤에 접속법 2인칭 복수형을 씁니다.,B1,규칙
접속법 현재,Me alegra que te ( ) mejor hoy.,sentirse,sientas,네가 오늘 기분이 더 나아져서 기쁘다.,감정(alegrarse)을 나타내는 동사 뒤 종속절에는 접속법을 사용합니다.,B1,불규칙(어간)
접속법 현재,Mamá quiere que ( ) mi cuarto.,ordenar,ordene,엄마는 내가 방을 정리하기를 원하신다.,주어의 의지(querer)가 다른 대상에게 향할 때 접속법을 사용합니다.,B1,규칙
가능법,"Yo que tú, no le ( ) a tus padres.",mentir,mentiría,내가 너라면 부모님께 거짓말하지 않을 텐데.,조언을 나타내는 'Yo que tú' 구문 뒤에는 가능법이 옵니다.,B1,규칙
접속법 현재,Busco a alguien que ( ) traducir esto.,traducir,traduzca,이것을 번역할 줄 아는 사람을 찾습니다.,선행사가 불특정할 때(찾고 있는 중) 관계절 동사는 접속법을 씁니다.,B1,불규칙
가능법,"Si fuera un pájaro, ( ) muy alto.",volar,volaría,내가 새라면 아주 높이 날 텐데.,현재 사실과 반대되는 상상(가정법)의 결과절에는 가능법을 사용합니다.,B2,규칙
과거완료,"Al llegar, la clase ya ( ).",terminar,había terminado,도착했을 때 수업은 이미 끝나 있었다.,과거의 특정 시점(도착)보다 먼저 일어난 대과거 사건입니다.,B2,규칙
접속법 과거,El jefe exigió que ( ) el informe.,entregar,entregáramos,상사는 우리가 보고서를 제출할 것을 요구했다.,주절이 과거(exigió)이고 명령/요구를 나타내므로 접속법 과거를 씁니다.,B2,규칙
가능법 완료,"Si hubieras estudiado, ( ).",aprobar,habrías aprobado,네가 공부했다면 합격했을 텐데.,과거 사실 반대 가정의 결과절에는 'haber 가능법 + 과거분사'를 씁니다.,B2,규칙
접속법 과거,Le pedí que ( ) todo el crimen.,confesar,confesara,나는 그에게 범죄 사실 전부를 자백하라고 요청했다.,과거의 요청(pedí)에 따른 종속절의 행위는 접속법 과거로 일치시킵니다.,B2,규칙
과거완료,Jamás ( ) un evento así.,presenciar,había presenciado,나는 그런 사건을 목격한 적이 한 번도 없었다.,과거의 기준 시점 이전에 경험하지 못한 일을 대과거로 표현합니다.,B2,규칙
접속법 과거,No era posible que ( ) tal cosa.,imaginar,imaginaras,네가 그런 일을 상상했을 리가 없다.,과거의 부정적 판단(No era posible) 뒤에 접속법 과거가 따릅니다.,B2,규칙
접속법 과거완료,"Si no ( ) el bus, habría llegado.",perder,hubieras perdido,버스를 놓치지 않았더라면 도착했을 텐데.,과거 사실 반대 가정의 조건절(If)에는 접속법 과거완료를 씁니다.,B2,규칙
접속법 과거,Mis padres querían que yo ( ) más.,exigir,exigiera,부모님은 내가 더 요구하기를 원하셨다.,주절이 불완료과거(querían)이므로 종속절도 접속법 과거로 시제 일치시킵니다.,B2,규칙
과거완료,Vi que el vaso se ( ) en pedazos.,romper,había roto,나는 컵이 산산조각 나 있는 것을 보았다.,보았을 때(Vi) 이미 깨져 있었으므로 대과거(과거완료)를 사용합니다.,B2,불규칙(분사)
현재형,Yo siempre ( ) tostadas con mantequilla.,desayunar,desayuno,나는 항상 버터 바른 토스트를 아침으로 먹는다.,아침 식사 습관(siempre)을 나타내므로 1인칭 단수 현재형을 사용합니다.,A1,규칙
현재형,Nosotros ( ) muy tarde los fines de semana.,cenar,cenamos,우리는 주말마다 매우 늦게 저녁을 먹는다.,반복되는 일상적인 행위를 설명하므로 1인칭 복수 현재형을 씁니다.,A1,규칙
현재형,Mi madre ( ) paella los domingos.,cocinar,cocina,어머니는 일요일마다 파에야를 요리하신다.,주어(Mi madre)의 습관적인 동작을 묘사하므로 3인칭 단수 현재형입니다.,A1,규칙
현재형,¿Tú ( ) tu habitación todos los días?,limpiar,limpias,너는 매일 네 방을 청소하니?,Todos los días'라는 빈도 부사구와 함께 쓰인 습관적 행위입니다.,A1,규칙
현재형,Ellos ( ) los platos después de comer.,lavar,lavan,그들은 식사 후에 설거지를 한다.,일상적인 집안일(규칙적인 일)을 나타내므로 3인칭 복수 현재형을 씁니다.,A1,규칙
현재형,Usted ( ) el museo cada mes.,visitar,visita,당신은 매달 그 박물관을 방문합니다.,존칭(Usted) 주어에 일치하는 3인칭 단수 동사 변화를 사용합니다.,A1,규칙
현재형,Vosotros ( ) ayuda con la tarea.,necesitar,necesitáis,너희들은 숙제하는 데 도움이 필요하다.,현재의 상태나 필요를 나타내므로 2인칭 복수 현재형을 사용합니다.,A1,규칙
현재형,Ella ( ) el ordenador para trabajar.,usar,usa,그녀는 일하기 위해 컴퓨터를 사용한다.,도구 사용이라는 일반적인 사실을 서술하므로 3인칭 단수입니다.,A1,규칙
현재형,Los pájaros ( ) en el árbol cada mañana.,cantar,cantan,새들은 매일 아침 나무에서 노래한다.,자연 현상이나 동물의 일반적인 행동 양식을 묘사합니다.,A1,규칙
현재형,Yo ( ) en la piscina municipal los martes.,nadar,nado,나는 화요일마다 시립 수영장에서 수영한다.,특정 요일(Los martes)마다 반복되는 운동 습관을 나타냅니다.,A1,규칙
현재형,El niño ( ) un sol en su cuaderno.,dibujar,dibuja,그 아이는 공책에 해를 그린다.,현재 진행 중이거나 일반적인 놀이 활동을 묘사합니다.,A1,규칙
현재형,Nosotras ( ) yoga en el gimnasio.,practicar,practicamos,우리(여자)는 체육관에서 요가를 연습한다.,취미나 운동 활동을 설명하는 1인칭 복수 현재형입니다.,A1,규칙
현재형,Él ( ) en el sofá después del trabajo.,descansar,descansa,그는 퇴근 후에 소파에서 쉰다.,일과 후의 휴식이라는 반복적 패턴을 나타냅니다.,A1,규칙
현재형,¿Qué ( ) tú en el cajón?,buscar,buscas,너는 서랍에서 무엇을 찾고 있니?,현재 시점에서 행하고 있는 구체적인 동작을 묻습니다.,A1,규칙
현재형,Ustedes ( ) la cuenta en efectivo.,pagar,pagan,당신들은 현금으로 계산합니다.,상점에서의 일반적인 지불 행위를 묘사합니다.,A1,규칙
단순과거,Yo ( ) en Madrid en 1995.,nacer,nací,나는 1995년에 마드리드에서 태어났다.,출생은 과거의 특정 시점에 완료된 일회성 사건이므로 단순과거입니다.,A2,규칙
단순과거,El famoso escritor ( ) ayer a los 90 años.,morir,murió,그 유명한 작가는 어제 90세의 나이로 사망했다.,사망(어제)은 명확한 종료 시점이 있는 사건이므로 3인칭 단수 단순과거(o->u 변화)를 씁니다.,A2,불규칙(어간)
단순과거,"De repente, el vaso se ( ) al suelo.",caer,cayó,갑자기 컵이 바닥으로 떨어졌다.,순간적인 사건(떨어짐)을 묘사하며 3인칭에서 y가 들어가는 불규칙 변화입니다.,A2,불규칙(철자)
단순과거,¿Tú me ( ) este regalo?,traer,trajiste,네가 나에게 이 선물을 가져왔니?,과거에 물건을 가져온 행위가 완료되었음을 묻습니다(j 불규칙).,A2,불규칙(어간)
단순과거,Nosotros no ( ) el timbre de la puerta.,oír,oímos,우리는 초인종 소리를 듣지 못했다.,특정 과거 시점에 감각적으로 인지하지 못한 사실을 나타냅니다.,A2,불규칙
단순과거,La fábrica ( ) mil coches el mes pasado.,producir,produjo,그 공장은 지난달에 자동차 천 대를 생산했다.,지난달'이라는 완료된 기간 동안의 성과를 나타냅니다(c->j 불규칙).,A2,불규칙(어간)
단순과거,Ellos ( ) todo el día por la montaña.,andar,anduvieron,그들은 하루 종일 산을 걸어 다녔다.,하루 종일'이라는 기간 동안 지속된 후 완료된 행위입니다(uv 불규칙).,A2,불규칙(어간)
단순과거,Yo no ( ) en el coche pequeño.,caber,cupe,나는 그 작은 차에 들어갈 수 없었다.,과거 특정 상황에서 공간에 들어갈 수 없었던 사실(완료)을 나타냅니다.,A2,불규칙(어간)
불완료과거,A mí me ( ) los dulces de pequeño.,encantar,encantaban,나는 어렸을 때 사탕을 매우 좋아했다.,과거의 지속적인 취향이나 기호를 나타낼 때는 불완료과거를 씁니다.,A2,규칙
불완료과거,A ella le ( ) mucho la cabeza ayer.,doler,dolía,어제 그녀는 머리가 많이 아팠다.,과거의 신체적 통증이나 상태 묘사는 불완료과거를 주로 사용합니다.,A2,규칙
불완료과거,Todo ( ) muy tranquilo esa noche.,parecer,parecía,그날 밤 모든 것이 매우 평화로워 보였다.,과거 상황의 분위기나 느낌을 묘사하는 배경적 서술입니다.,A2,규칙
불완료과거,Nosotros ( ) ir al cine los viernes.,soler,solíamos,우리는 금요일마다 영화관에 가곤 했다.,과거의 규칙적인 습관(soler)은 항상 불완료과거로 씁니다.,A2,규칙
불완료과거,La entrada ( ) mucho dinero antes.,costar,costaba,예전에는 입장료가 비쌌다.,과거의 가격이나 가치 상태를 설명합니다.,A2,규칙
불완료과거,"Mientras ( ), nosotros leíamos.",llover,llovía,"비가 오는 동안, 우리는 책을 읽었다.",다른 사건(독서)의 배경이 되는 날씨 상태를 묘사합니다.,A2,규칙
불완료과거,En invierno siempre ( ) en esta zona.,nevar,nevaba,겨울에는 이 지역에 항상 눈이 내렸다.,과거의 반복적인 기상 현상을 나타냅니다.,A2,규칙
현재완료,He ( ) un gran secreto.,descubrir,descubierto,나는 큰 비밀을 하나 발견했다.,발견한 사실이 현재까지 영향을 미치고 있음을 나타냅니다(불규칙 분사).,A2,불규칙(분사)
현재완료,La nieve ha ( ) todo el camino.,cubrir,cubierto,눈이 길 전체를 덮어버렸다.,눈이 덮인 상태가 현재 지속되고 있음을 강조합니다.,A2,불규칙(분사)
현재완료,¿Ya has ( ) el problema matemático?,resolver,resuelto,너는 이미 그 수학 문제를 풀었니?,문제 해결의 완료 여부를 묻는 현재완료 시제입니다.,A2,불규칙(분사)
현재완료,Ella ha ( ) las patatas para la cena.,freír,frito,그녀는 저녁을 위해 감자를 튀겼다.,요리 행위가 완료되어 결과물이 있음을 나타냅니다.,A2,불규칙(분사)
현재완료,No hemos ( ) el billete de avión.,imprimir,impreso,우리는 비행기 표를 인쇄하지 않았다.,표가 준비되지 않은 현재 상태를 설명합니다.,A2,불규칙(분사)
단순미래,Yo ( ) mi casa el próximo año.,vender,venderé,나는 내년에 집을 팔 것이다.,미래의 계획이나 의도를 명확히 표현합니다.,B1,규칙
단순미래,Los precios ( ) el mes que viene.,subir,subirán,다음 달에 가격이 오를 것이다.,경제 상황에 대한 미래 예측입니다.,B1,규칙
단순미래,Tú ( ) de peso con esa dieta.,bajar,bajarás,너는 그 식단이면 살이 빠질 것이다.,조건에 따른 미래의 결과를 예측합니다.,B1,규칙
단순미래,Te aseguro que él lo ( ).,prometer,prometerá,장담하건대 그는 그것을 약속할 것이다.,제3자의 행동에 대한 화자의 확신을 담은 추측/예측입니다.,B1,규칙
접속법 현재,Espero que me ( ) por el error.,perdonar,perdones,네가 내 실수를 용서해 주기를 바란다.,희망/기대(Espero que) 뒤에 오는 종속절에는 접속법을 사용합니다.,B1,규칙
접속법 현재,Es raro que él ( ) mi cumpleaños.,olvidar,olvide,그가 내 생일을 잊다니 이상하다.,감정적 판단(Es raro que)을 나타내는 주절 뒤에는 접속법이 옵니다.,B1,규칙
접속법 현재,Prohíben que nosotros ( ) aquí.,fumar,fumemos,그들은 우리가 여기서 담배 피우는 것을 금지한다.,금지(Prohibir)를 나타내는 동사 뒤에는 접속법을 사용합니다.,B1,규칙
접속법 현재,No permito que ( ) en mi casa.,entrar,entres,나는 네가 내 집에 들어오는 것을 허락하지 않는다.,허락/금지(Permitir 부정) 뒤 종속절은 접속법을 취합니다.,B1,규칙
접속법 현재,Te aconsejo que ( ) a la reunión.,asistir,asistas,나는 네가 회의에 참석할 것을 조언한다.,조언(Aconsejar)을 나타내는 동사 뒤에는 접속법을 씁니다.,B1,규칙
접속법 현재,Sugiero que ellos ( ) el menú.,elegir,elijan,나는 그들이 메뉴를 고르기를 제안한다.,제안(Sugerir) 뒤 종속절에는 접속법(e->i 어간 변화)을 사용합니다.,B1,불규칙(어간)
접속법 현재,Insisto en que usted ( ) un poco.,esperar,espere,나는 당신이 조금 기다리기를 고집한다/요청한다.,강한 요구(Insistir) 뒤에는 접속법을 사용해야 합니다.,B1,규칙
접속법 현재,Me molesta que los vecinos ( ).,gritar,griten,이웃들이 소리 지르는 것이 나를 짜증 나게 한다.,감정적 반응(Me molesta que)의 원인이 되는 사실은 접속법으로 표현합니다.,B1,규칙
접속법 현재,Le sorprende que yo lo ( ).,intentar,intente,그는 내가 그것을 시도한다는 것에 놀라워한다.,놀람(Sorprender)을 나타내는 감정 동사 뒤에 접속법을 씁니다.,B1,규칙
접속법 현재,Niego que el resultado ( ) fácil.,resultar,resulte,나는 결과가 쉽게 나올 것이라는 점을 부인한다.,부인(Negar)은 불확실성을 내포하므로 접속법을 사용합니다.,B1,규칙
가능법,Ese cuadro antiguo ( ) millones.,valer,valdría,저 오래된 그림은 수백만 달러의 가치가 나갈 텐데.,추측이나 가정을 나타내는 가능법(d 삽입 불규칙)입니다.,B1,불규칙(어간)
접속법 과거,El jefe quería que ( ) a Juan.,contratar,contratáramos,상사는 우리가 후안을 고용하기를 원했다.,주절이 과거(quería)이므로 종속절도 접속법 과거로 시제 일치시킵니다.,B2,규칙
접속법 과거,Tenía miedo de que me ( ).,despedir,despidieran,나는 해고당할까 봐 두려웠다.,과거의 두려움(Tenía miedo) 뒤에 접속법 과거(e->i 변화)를 씁니다.,B2,불규칙(어간)
접속법 과거,"Si ( ) dinero, viajarías más.",ahorrar,ahorraras,"네가 돈을 모은다면, 더 많이 여행할 텐데.",현재 사실 반대 가정(If절)에는 접속법 과거를 사용합니다.,B2,규칙
접속법 과거,Fue bueno que ( ) en oro.,invertir,invirtieras,네가 금에 투자한 것은 잘한 일이었다.,과거의 가치 판단(Fue bueno que) 뒤에 접속법 과거(e->ie 변화)가 옵니다.,B2,불규칙(어간)
과거완료,"Cuando llegué, ya ( ) la luz.",apagar,habían apagado,내가 도착했을 때 그들은 이미 불을 껐었다.,도착 시점보다 이전에 완료된 동작(대과거)을 나타냅니다.,B2,규칙
과거완료,El fuego ya se ( ) solo.,encender,había encendido,불은 이미 저절로 켜져 있었다.,기준이 되는 과거 시점 이전에 발생한 상태 변화입니다.,B2,불규칙(분사)
과거완료,No vi dónde ( ) el coche.,aparcar,habías aparcado,네가 차를 어디에 주차했는지 나는 보지 못했다.,내가 보지 못한 시점(과거)보다 주차가 먼저 일어났습니다.,B2,규칙
가능법 완료,Yo habría ( ) un coche mejor.,alquilar,alquilado,나라면 더 좋은 차를 빌렸을 텐데.,과거에 실현되지 못한 대안적 상황을 가정합니다.,B2,규칙
가능법 완료,¿Habrías ( ) el hotel con tiempo?,reservar,reservado,너라면 미리 호텔을 예약했겠니?,과거 상황에 대한 가상의 질문(가정법 완료 귀결절)입니다.,B2,규칙
가능법 완료,"Si hubiera sabido, habría ( ).",cancelar,cancelado,알았더라면 취소했을 텐데.,과거 사실 반대 가정의 결과절(취소했을 것이다)입니다.,B2,규칙
현재형,Yo ( ) la televisión por la noche.,mirar,miro,나는 밤에 텔레비전을 본다.,특별한 의미 없이 '보다'라는 일반적인 행위를 나타내는 1인칭 단수 현재형입니다.,A1,규칙
현재형,Nosotros no ( ) la lección de hoy.,comprender,comprendemos,우리는 오늘 수업을 이해하지 못한다.,인지적 상태(이해하다)를 나타내는 1인칭 복수 현재형입니다.,A1,규칙
현재형,Tú ( ) muchas cartas de tus fans.,recibir,recibes,너는 팬들에게 많은 편지를 받는다.,반복적으로 일어나는 수령 행위를 나타내므로 2인칭 단수 현재형을 씁니다.,A1,규칙
현재형,El alumno ( ) a la pregunta del profesor.,responder,responde,그 학생은 선생님의 질문에 대답한다.,대화 상황에서의 반응을 나타내는 3인칭 단수 현재형입니다.,A1,규칙
현재형,Ellas ( ) por el precio de la camisa.,preguntar,preguntan,그녀들은 셔츠 가격을 묻는다.,정보를 요청하는 일반적인 행위를 묘사하므로 3인칭 복수 현재형입니다.,A1,규칙
현재형,El maestro ( ) matemáticas a los niños.,enseñar,enseña,그 선생님은 아이들에게 수학을 가르친다.,직업적인 행위나 일상적인 활동을 설명하는 3인칭 단수형입니다.,A1,규칙
현재형,Vosotros ( ) a todos vuestros amigos a la fiesta.,invitar,invitáis,너희들은 파티에 모든 친구를 초대한다.,2인칭 복수 주어(Vosotros)에 해당하는 규칙 동사 변화(-áis)입니다.,A1,규칙
현재형,Los conejos ( ) muy alto en el campo.,saltar,saltan,토끼들은 들판에서 매우 높이 뛴다.,동물의 일반적인 움직임이나 특성을 묘사합니다.,A1,규칙
현재형,Yo nunca ( ) basura en la calle.,tirar,tiro,나는 절대 길거리에 쓰레기를 버리지 않는다.,부정어(nunca)와 함께 쓰여 평소의 습관이나 원칙을 나타냅니다.,A1,규칙
현재형,El peluquero me ( ) el pelo una vez al mes.,cortar,corta,미용사는 한 달에 한 번 내 머리를 자른다.,주기적인 서비스 이용을 나타내는 3인칭 단수 현재형입니다.,A1,규칙
현재형,Mi hija ( ) cuadros con acuarelas.,pintar,pinta,내 딸은 수채화로 그림을 그린다.,취미 활동이나 예술적 행위를 묘사하는 현재 시제입니다.,A1,규칙
현재형,El bebé ( ) cuando tiene hambre.,llorar,llora,아기는 배가 고플 때 운다.,조건(배고픔)에 따른 본능적 반응을 나타냅니다.,A1,규칙
현재형,Usted ( ) el piano maravillosamente.,tocar,toca,당신은 피아노를 훌륭하게 연주합니다.,악기 연주 능력을 칭찬하거나 서술할 때 사용하는 존칭 단수형입니다.,A1,규칙
현재형,Nosotros no ( ) mucho dinero en ropa.,gastar,gastamos,우리는 옷에 돈을 많이 쓰지 않는다.,소비 습관을 나타내는 1인칭 복수 현재형입니다.,A1,규칙
현재형,Los peatones ( ) la calle por el paso de cebra.,cruzar,cruzan,보행자들은 횡단보도로 길을 건넌다.,교통 법규나 일반적인 보행 습관을 설명합니다.,A1,규칙
단순과거,Los ingenieros ( ) este puente en un año.,construir,construyeron,기술자들은 1년 만에 이 다리를 건설했다.,"과거의 특정 기간에 완료된 건설 행위이며, 3인칭 복수에서 y가 삽입됩니다.",A2,불규칙(철자)
단순과거,El terremoto ( ) varios edificios antiguos.,destruir,destruyó,지진이 오래된 건물 몇 채를 파괴했다.,자연재해로 인한 완료된 파괴를 나타내며 3인칭 단수에서 y 변화가 일어납니다.,A2,불규칙(철자)
