문장,뜻,정답,오답,유형,해설
El niño se escondió ( ) miedo.,아이는 무서워서 숨었다.,de,"por,con,a,en",cause,"감정적인 원인(~때문에)은 'de'를 자주 씁니다 (llorar de alegría, morir de hambre). 'por miedo'도 가능하지만, 'de miedo'가 더 관용적입니다."
Vengo ( ) parte de Juan.,후안이 *보내서* 왔습니다.,de,"a,en,por,con",loc_origin,"'De parte de'는 '~를 대신하여, ~가 보내서'라는 표현입니다."
El tren llegó ( ) su hora.,기차는 *제시간에* 도착했다.,a,"en,de,por,con",time_point,'A su hora' 또는 'a tiempo'는 '제시간에'라는 뜻입니다.
Estamos ( ) prueba.,우리는 *시험 삼아* 해보는 중이다.,a,"en,de,por,con",manner,"'Estar a prueba'는 '수습 중이다, 시험 중이다'라는 뜻입니다."
Lo sé ( ) memoria.,나는 그것을 *외워서* 안다.,de,"a,en,por,con",manner,'De memoria'는 '암기하여'라는 뜻입니다.
El libro está escrito ( ) mano.,그 책은 *손으로* 쓰여졌다.,a,"en,de,por,con",method,손으로(수작업)는 'a mano'입니다. (Hecho a mano)
Salió ( ) la tele.,그는 TV*에* 나왔다.,en,"a,de,por,con",loc_position,"매체(TV, 라디오, 신문)에 나오는 것은 'en'을 씁니다 (en la televisión)."
Me voy ( ) fin de semana.,나는 주말 *여행을* 간다.,de,"a,en,por,con",manner,'Irse de fin de semana'는 주말을 보내러 떠난다는 뜻입니다.
Estoy ( ) huelga.,나는 *파업* 중이다.,en,"a,de,por,con",manner,'Estar en huelga'는 파업 중이라는 뜻입니다.
Huele ( ) quemado.,*탄 냄새가* 난다.,a,"en,de,por,con",manner,'Oler a'는 '~냄새가 나다'라는 표현입니다.
Sabe ( ) fresa.,*딸기 맛이* 난다.,a,"en,de,por,con",manner,'Saber a'는 '~맛이 나다'라는 표현입니다.
Estoy ( ) dieta.,나는 *다이어트* 중이다.,a,"en,de,por,con",manner,'Estar a dieta'는 다이어트 중이라는 뜻입니다.
El coche va ( ) cien.,차는 *시속 100km로* 간다.,a,"en,de,por,con",method,속도를 나타낼 때는 'a'를 씁니다 (a 100 km/h).
Lo vendí ( ) buen precio.,나는 그것을 좋은 가격*에* 팔았다.,a,"en,de,por,con",exchange,"가격을 나타낼 때는 'a' 또는 'por'를 쓰는데, 'a buen precio'가 관용적입니다."
Estamos ( ) salvo.,우리는 *안전하다*.,a,"en,de,por,con",loc_position,'Estar a salvo'는 안전하다는 뜻입니다.
Quedamos ( ) la puerta del cine.,우리는 영화관 문 *앞에서* 만나기로 했다.,en,"a,de,por,con",loc_position,만남의 장소를 정할 때는 'en'을 주로 씁니다.
Voy ( ) compras.,나는 *쇼핑하러* 간다.,de,"a,en,por,con",manner,'Ir de compras'는 쇼핑하러 간다는 뜻입니다.
Viste ( ) negro.,그는 검은색*으로* 입었다.,de,"a,en,por,con",manner,'Vestir de' + 색상은 ~색 옷을 입다는 뜻입니다.
Trabaja ( ) profesor.,그는 선생님*으로* 일한다.,de,"a,en,por,con",method,직업/자격(~로서)은 'de'를 씁니다 (Trabajar de...).
Me enamoré ( ) ella.,나는 그녀*에게* 사랑에 빠졌다.,de,"a,en,por,con",cause,'Enamorarse de'는 ~와 사랑에 빠지다는 뜻입니다.
Confío ( ) ti.,나는 너*를* 믿는다.,en,"a,de,por,con",topic,'Confiar en'은 ~를 신뢰하다는 뜻입니다.
Pienso ( ) ti.,나는 네 *생각을* 한다.,en,"a,de,por,con",topic,'Pensar en'은 ~를 생각하다는 뜻입니다.
Sueño ( ) viajar.,나는 여행하는 *꿈을* 꾼다.,con,"a,de,por,en",topic,'Soñar con'은 ~하는 꿈을 꾸다는 뜻입니다.
Me alegro ( ) verte.,너를 봐서 *기쁘다*.,de,"a,en,por,con",cause,'Alegrarse de'는 ~해서 기쁘다는 뜻입니다.
Se olvidó ( ) las llaves.,그는 열쇠*를* 잊어버렸다.,de,"a,en,por,con",topic,'Olvidarse de'는 ~를 잊다는 뜻입니다.
Acabo ( ) llegar.,나는 *막* 도착했다.,de,"a,en,por,con",time_point,'Acabar de' + 동사원형은 '방금 ~했다'는 뜻입니다.
Bajamos ( ) tren en la próxima estación.,우리는 다음 역에서 기차*에서* 내린다.,del,"al,en el,por el,con el",loc_origin,'Bajar de'는 '~에서 내리다'라는 뜻입니다. (de + el = del)
Subimos ( ) autobús.,우리는 버스*에* 탄다.,al,"del,en el,por el,con el",loc_direction,'Subir a'는 '~에 타다/오르다'라는 뜻입니다. (a + el = al)
Estoy ( ) punto de salir.,나는 *막* 나가려던 참이다.,a,"en,de,por,con",time_point,'Estar a punto de' + 동사원형은 '막 ~하려 하다'는 뜻입니다.
Debes dejar ( ) fumar.,너는 담배를 *끊어야* 한다.,de,"a,en,por,con",topic,'Dejar de' + 동사원형은 '~하는 것을 그만두다'는 뜻입니다.
Empezó ( ) llover.,비가 오기 *시작했다*.,a,"de,en,por,con",time_point,'Empezar a' + 동사원형은 '~하기 시작하다'는 뜻입니다.
Volvió ( ) hacerlo.,그는 그것을 *다시* 했다.,a,"de,en,por,con",manner,'Volver a' + 동사원형은 '다시 ~하다'는 뜻입니다.
Trato ( ) estudiar todos los días.,나는 매일 공부*하려* 한다.,de,"a,en,por,con",purpose,"'Tratar de' + 동사원형은 '~하려고 노력하다, 시도하다'는 뜻입니다."
Me olvidé ( ) comprar leche.,나는 우유 사는 것을 *잊어버렸다*.,de,"a,en,por,con",topic,'Olvidarse de'는 '~을 잊다'는 뜻입니다.
Se queja ( ) todo.,그는 모든 것에 *대해* 불평한다.,de,"a,en,por,con",topic,'Quejarse de'는 '~에 대해 불평하다'는 뜻입니다.
Depende ( ) ti.,그건 너*에게* 달려 있다.,de,"a,en,por,con",cause,"'Depender de'는 '~에 달려 있다, 의존하다'는 뜻입니다."
El libro consta ( ) tres partes.,그 책은 3부분*으로* 구성되어 있다.,de,"a,en,por,con",material,'Constar de'는 '~로 구성되다'는 뜻입니다.
Me enteré ( ) la noticia.,나는 그 소식을 *알게 되었다*.,de,"a,en,por,con",topic,"'Enterarse de'는 '~을 알게 되다, 듣다'는 뜻입니다."
Se parece ( ) su padre.,그는 그의 아버지*를* 닮았다.,a,"de,en,por,con",company,'Parecerse a'는 '~를 닮다'는 뜻입니다.
Me acostumbré ( ) vivir solo.,나는 혼자 사는 것*에* 익숙해졌다.,a,"de,en,por,con",manner,'Acostumbrarse a'는 '~에 익숙해지다'는 뜻입니다.
Asistió ( ) la reunión.,그는 회의*에* 참석했다.,a,"de,en,por,con",loc_direction,'Asistir a'는 '~에 참석하다'는 뜻입니다.
Se casó ( ) ella.,그는 그녀*와* 결혼했다.,con,"a,de,por,en",company,'Casarse con'은 '~와 결혼하다'는 뜻입니다.
Huele ( ) rosas.,*장미 향기가* 난다.,a,"de,en,por,con",manner,'Oler a'는 '~냄새가 나다'는 뜻입니다.
Me arrepiento ( ) haberlo dicho.,나는 그것을 말한 것을 *후회한다*.,de,"a,en,por,con",cause,'Arrepentirse de'는 '~을 후회하다'는 뜻입니다.
Se rieron ( ) mí.,그들은 나*를* 비웃었다.,de,"a,en,por,con",cause,'Reírse de'는 '~를 비웃다'는 뜻입니다.
