전치사,카테고리ID,카테고리명,설명,예문,해석
para,topic,의견,관점 (~에게는),"*Para* mí, lo más importante en la vida es la salud.",나에게 있어서 인생에서 가장 중요한 것은 건강이다.
para,topic,비교/기준,기준에 비하여 (~치고는),Habla muy bien español *para* ser extranjero.,외국인치고는 스페인어를 매우 잘한다.
con,company,동반,함께함 (~와 함께),Ayer me encontré *con* mi antiguo jefe en una feria tecnológica.,어제 나는 기술 박람회에서 옛 상사와 마주쳤다.
con,method,도구,도구 (~을 가지고),Es imposible abrir esta cerradura antigua *con* una llave moderna.,현대식 열쇠로 이 오래된 자물쇠를 여는 것은 불가능하다.
con,manner,태도/방식,태도 (~하게),Me miró *con* tristeza cuando le dije la verdad.,내가 진실을 말했을 때 그는 슬프게 나를 바라보았다.
sin,company,부재/결핍,없음 (~없이),No puedo imaginar mi vida diaria *sin* conexión a internet o teléfono móvil.,나는 인터넷 연결이나 휴대전화 없이 일상생활을 하는 것을 상상할 수 없다.
sin,method,조건,~하지 않고,Se fue *sin* decir adiós a nadie.,그는 아무에게도 작별 인사를 하지 않고 떠났다.
sobre,loc_position,위치(표면),표면 위 (~위에),Había una gran cantidad de documentos desordenados *sobre* el escritorio del director.,이사님의 책상 위에는 엄청난 양의 서류들이 어질러져 있었다.
sobre,topic,주제,주제 (~에 대하여),El profesor escribió un artículo muy crítico *sobre* el impacto de las redes sociales.,그 교수는 소셜 미디어의 영향에 대하여 매우 비판적인 기사를 썼다.
sobre,time_point,어림,대략적인 시간/수량 (~쯤),Llegaremos *sobre* las ocho de la tarde.,우리는 오후 8시쯤 도착할 것이다.
entre,loc_position,위치(사이),공간적 사이,Mi casa está entre la farmacia y la panadería.,우리 집은 약국과 빵집 사이에 있다.
entre,time_duration,기간(사이),시간적 사이,Llámame *entre* las dos y las tres.,2시에서 3시 사이에 전화해 줘.
entre,company,협력,우리끼리 (~끼리),Lo arreglamos *entre* todos.,우리 모두가 함께(우리끼리) 그것을 해결했다.
hasta,time_deadline,종료 시점,시간의 끝 (~까지),La tienda permanecerá abierta *hasta* que se agoten todas las existencias del producto.,그 가게는 제품의 모든 재고가 소진될 때까지 문을 열어둘 것이다.
hasta,loc_direction,도착 지점,장소의 끝 (~까지),Caminamos hasta la cima de la montaña sin descansar.,우리는 쉬지 않고 산 정상까지 걸어갔다.
desde,time_point,시작 시점,기점 (~부터),No he tenido noticias suyas *desde* que se mudó a otro país el año pasado.,그가 작년에 다른 나라로 이사한 이후로 그에게서 소식을 듣지 못했다.
desde,loc_origin,출발 지점,출발점 (~에서부터),*Desde* la cima de la montaña se puede apreciar una vista panorámica del valle.,산 정상에서부터 계곡의 파노라마 뷰를 감상할 수 있다.
hacia,loc_direction,방향,막연한 방향 (~쪽으로),Todos los pasajeros corrieron *hacia* la salida de emergencia cuando sonó la alarma.,알람이 울리자 모든 승객들이 비상구 쪽으로 달려갔다.
hacia,time_point,무렵,대략적인 시간 (~경에),El embajador llegará al palacio presidencial *hacia* el mediodía para la ceremonia.,대사는 예식을 위해 정오 무렵에 대통령궁에 도착할 것이다.
ante,loc_position,위치(앞),앞에 (직면/권위),El acusado tuvo que declarar *ante* el juez por los hechos ocurridos anoche.,피고인은 어젯밤 발생한 사건에 대해 판사 앞에서 증언해야 했다.
ante,cause,직면,~에 직면하여,"*Ante* tal problema, no supimos qué hacer.","그런 문제에 직면해서, 우리는 무엇을 해야 할지 몰랐다."
tras,loc_position,위치(뒤),뒤에 (공간/시간),El perro corrió *tras* la pelota.,개가 공 뒤를 쫓아 달려갔다.
tras,time_point,시간(후),~한 후에,"*Tras* varios meses de intensas negociaciones, finalmente se firmó el acuerdo de paz.","몇 달간의 치열한 협상 끝에, 마침내 평화 협정이 체결되었다."
contra,loc_position,위치(맞은편),기대어 / 부딪혀,El coche chocó *contra* un árbol.,차가 나무에 부딪혔다.
contra,topic,반대,~에 반대하여,Luchar *contra* las injusticias sociales es un deber de todos los ciudadanos.,사회적 불평등에 맞서 싸우는 것은 모든 시민의 의무이다.
durante,time_duration,기간(동안),특정 기간 내내 혹은 그 사이에,Mucha gente viaja al extranjero *durante* las vacaciones de verano.,많은 사람들이 여름 휴가 기간 동안 해외로 여행을 간다.
según,topic,출처/인용,~에 따르면,"*Según* el pronóstico del tiempo, mañana va a llover todo el día.","일기 예보에 따르면, 내일은 하루 종일 비가 올 것이다."
según,manner,방식/의존,~에 따라 (상황에 따라),El precio del billete varía *según* la temporada en la que viajes.,티켓 가격은 네가 여행하는 시즌에 따라 달라진다.
mediante,method,수단,~을 통하여 (격식),El conflicto se resolvió *mediante* el diálogo pacífico entre ambas partes.,그 갈등은 양측 간의 평화적인 대화를 통해 해결되었다.
excepto,company,제외,~를 제외하고,Todos los estudiantes aprobaron el examen *excepto* Juan.,후안을 제외하고 모든 학생들이 시험에 합격했다.
salvo,company,제외,~를 제외하고,Abren todos los días *salvo* los domingos.,그들은 일요일을 제외하고 매일 문을 연다.
vía,loc_path,경유,~를 경유하여,Volaremos a Londres *vía* París.,우리는 파리를 경유하여 런던으로 갈 것이다.
vía,method,수단,~편으로/통해 (통신/전송),Te enviaré los documentos *vía* correo electrónico.,이메일 편으로 서류를 보내줄게.
a pesar de,cause,양보,~에도 불구하고,Salimos a pasear *a pesar de* la fuerte lluvia.,우리는 거센 비에도 불구하고 산책하러 나갔다.
debido a,cause,원인,~때문에 (격식/객관적),La carretera está cerrada *debido a* un accidente de tráfico.,교통사고 때문에 도로가 폐쇄되었다.
junto a,loc_position,위치(옆),~바로 옆에/붙어서,La farmacia está *junto a* la entrada del metro.,약국은 지하철 입구 바로 옆에 있다.
frente a,loc_position,위치(맞은편),~의 맞은편에/마주보고,Se sentó *frente a* mí durante la cena.,그는 저녁 식사 내내 내 맞은편에 앉아 있었다.
frente a,topic,직면,~에 직면하여/대하여,Tenemos que estar unidos *frente a* la crisis.,우리는 위기에 맞서 단결해야 한다.
en cuanto a,topic,주제/한정,~에 관해서는,"*En cuanto a*l proyecto, hablaremos mañana.",프로젝트에 관해서는 내일 이야기하자.
en lugar de,exchange,대체,~대신에 (장소/행동),Podemos ir al cine *en lugar de* cenar fuera.,우리는 외식하는 대신에 영화관에 갈 수 있다.
a través de,loc_path,경로(통과),~을 통하여/가로질러,La luz del sol entraba *a través de* las cortinas.,햇빛이 커튼을 뚫고(통해) 들어오고 있었다.
a través de,method,수단,~을 통해 (매개),Conseguí el trabajo *a través de* un amigo.,나는 친구를 통해 그 일자리를 얻었다.
en vez de,exchange,대체,~대신에,Deberías comer fruta *en vez de* dulces.,너는 사탕 대신에 과일을 먹어야 한다.
a causa de,cause,원인,~때문에 (부정적 뉘앙스),El vuelo se retrasó *a causa de* la niebla.,안개 때문에 비행기가 지연되었다.
gracias a,cause,원인(감사),~덕분에 (긍정적),Aprobé el examen *gracias a* tu ayuda.,네 도움 덕분에 시험에 합격했다.
cerca de,loc_position,위치(근처),가까이 (~근처에),Mi casa está situada muy *cerca de* un gran parque donde suelo ir a correr.,우리 집은 내가 자주 달리러 가는 큰 공원 아주 근처에 위치해 있다.
lejos de,loc_position,위치(멀리),멀리 (~에서 멀리),Muchos estudiantes prefieren vivir *lejos de*l centro de la ciudad para pagar menos alquiler.,많은 학생들은 월세를 아끼기 위해 도심에서 멀리 떨어진 곳에 사는 것을 선호한다.
delante de,loc_position,위치(앞),물리적 위치 앞,"Por favor, no estaciones tu coche justo *delante de* la entrada principal del hospital.",제발 병원 정문 바로 앞에 주차하지 마세요.
detrás de,loc_position,위치(뒤),물리적 위치 뒤,Había un gato escondido *detrás de* las cortinas del salón esperando a su dueño.,거실 커튼 뒤에 숨어서 주인을 기다리는 고양이가 있었다.
encima de,loc_position,위치(위),바로 위에 (접촉/비접촉),Deja las llaves *encima de* la mesa de la entrada para no olvidarlas.,잊어버리지 않게 현관 탁자 위에 열쇠를 두렴.
debajo de,loc_position,위치(아래),바로 아래에,Escondí el regalo de cumpleaños *debajo de* la cama para que no lo encontrara antes de tiempo.,미리 발견하지 못하게 침대 밑에 생일 선물을 숨겨두었다.
dentro de,loc_position,위치(안),내부에,Había una carta de amor guardada *dentro de* aquel libro antiguo de la biblioteca.,그 도서관의 오래된 책 속에 연애편지 한 통이 보관되어 있었다.
fuera de,loc_position,위치(밖),외부에,Los niños estaban jugando *fuera de* la escuela esperando a que sus padres vinieran a recogerlos.,아이들은 부모님이 데리러 오기를 기다리며 학교 밖에서 놀고 있었다.
al lado de,loc_position,위치(옆),옆에,El nuevo centro comercial se está construyendo justo *al lado de*l parque central.,새로운 쇼핑센터가 중앙공원 바로 옆에 지어지고 있다.
antes de,time_point,시점(이전),~전에,Es muy recomendable revisar todos los documentos *antes de* firmar el contrato de alquiler.,임대 계약서에 서명하기 전에 모든 서류를 검토하는 것을 강력히 권장한다.
después de,time_point,시점(이후),~후에,"*Después de* graduarse en la universidad, ella planea viajar por toda Latinoamérica durante un año.","대학교를 졸업한 후에, 그녀는 1년 동안 라틴 아메리카 전역을 여행할 계획이다."
alrededor de,loc_position,위치(주변),~주위에,Hay muchos árboles *alrededor de*l lago.,호수 주위에 나무가 많이 있다.
alrededor de,time_point,어림,대략 (~쯤),Llegaré *alrededor de* las seis.,6시쯤 도착할게.
